Actor,Score,Title,Year,Gross
Scarlett Johansson,7.7,Match Point,2005,23089926
Anthony Hopkins,7.9,The Remains of the Day,1993,22954968
Matt Damon,7.4,Rounders,1998,22905674
Leonardo DiCaprio,7.3,Revolutionary Road,2008,22877808
Matt Damon,6.6,Titan A.E.,2000,22751979
Keanu Reeves,7.4,Much Ado About Nothing,1993,22551000
Bruce Willis,7.8,Lucky Number Slevin,2006,22494487
Bruce Willis,7.8,Lucky Number Slevin,2006,22494487
Nicolas Cage,7.7,Adaptation.,2002,22245861
Johnny Depp,6.8,Don Juan DeMarco,1994,22200000
Matthew McConaughey,7.4,Mud,2012,21589307
Denzel Washington,6.9,He Got Game,1998,21554585
Denzel Washington,7.3,Antwone Fisher,2002,21078145
Bill Murray,7.8,Fantastic Mr. Fox,2009,20999103
Matthew McConaughey,6.7,Free State of Jones,2016,20389967
Jason Statham,6.5,Homefront,2013,19783777
Kevin Spacey,7.5,The Life of David Gale,2003,19593740
Robert Downey Jr.,7.4,Wonder Boys,2000,19389454
Johnny Depp,6.7,The Ninth Gate,1999,18653746
Bill Murray,7.5,Michael Jordan to the Max,2000,18642318
Matt Damon,6.6,EuroTrip,2004,17718223
Robert Downey Jr.,6.6,Home for the Holidays,1995,17518220
Philip Seymour Hoffman,8.2,The Big Lebowski,1998,17439163
Philip Seymour Hoffman,6.8,A Most Wanted Man,2014,17237244
Jason Statham,6.5,Safe,2012,17120019
Bill Murray,7.7,Rushmore,1998,17096053
Nicolas Cage,6.8,Bringing Out the Dead,1999,16640210
Denzel Washington,6.5,Mo' Better Blues,1990,16153600
Hugh Jackman,7.5,Eddie the Eagle,2016,15785632
Hugh Jackman,7.5,Eddie the Eagle,2016,15785632
Steve Buscemi,6.5,Youth in Revolt,2009,15281286
Christian Bale,7.6,American Psycho,2000,15047419
Bill Murray,6.6,The Man Who Knew Too Little,1997,13801755
Anthony Hopkins,7.1,Nixon,1995,13560960
J.K. Simmons,6.9,Labor Day,2013,13362308
Matthew McConaughey,7.6,Lone Star,1996,13269963
Matthew McConaughey,7.3,Frailty,2001,13103828
J.K. Simmons,8.5,Whiplash,2014,13092000
Philip Seymour Hoffman,7.7,25th Hour,2002,13060843
Leonardo DiCaprio,6.7,Marvin's Room,1996,12782508
Christian Bale,6.7,The New World,2005,12712093
Nicolas Cage,6.6,The Weather Man,2005,12469811
Matt Damon,7.3,Chasing Amy,1997,12006514
Harrison Ford,6.5,Extraordinary Measures,2010,11854694
Scarlett Johansson,7,Girl with a Pearl Earring,2003,11634362
J.K. Simmons,7.1,The Words,2012,11434867
Kevin Spacey,6.8,The Shipping News,2001,11405825
Christian Bale,6.8,Out of the Furnace,2013,11326836
Anthony Hopkins,7,Bobby,2006,11204499
Kevin Spacey,7.8,Glengarry Glen Ross,1992,10725228
Johnny Depp,7.7,Fear and Loathing in Las Vegas,1998,10562387
Scarlett Johansson,6.7,Scoop,2006,10515579
Liam Neeson,7.1,Kinsey,2004,10214647
Hugh Jackman,7.3,The Fountain,2006,10139254
Robert De Niro,8,Brazil,1985,9929000
J.K. Simmons,6.8,Rendition,2007,9664316
Matthew McConaughey,6.8,Bernie,2011,9203192
Bill Murray,7.1,Get Low,2009,9176553
Johnny Depp,7.8,What's Eating Gilbert Grape,1993,9170214
Robert De Niro,7.2,Everybody's Fine,2009,8855646
Liam Neeson,7,The Bounty,1984,8600000
Morgan Freeman,7,An Unfinished Life,2005,8535575
Philip Seymour Hoffman,7.4,Pirate Radio,2009,7994115
Bill Murray,6.5,City of Ember,2008,7871693
Matt Damon,6.6,Promised Land,2012,7556708
Philip Seymour Hoffman,7.2,The Savages,2007,6610326
Keanu Reeves,7.1,My Own Private Idaho,1991,6401336
Scarlett Johansson,7.4,Ghost World,2001,6200756
Kevin Spacey,6.7,Beyond the Sea,2004,6144806
Gerard Butler,7.2,Chasing Mavericks,2012,6002756
Denzel Washington,7.5,Cry Freedom,1987,5899797
Johnny Depp,7.9,Ed Wood,1994,5887457
Christian Bale,7.3,Rescue Dawn,2006,5484375
Robert Downey Jr.,7.1,A Scanner Darkly,2006,5480996
Kevin Spacey,7.1,Margin Call,2011,5354039
Robert De Niro,8.4,Once Upon a Time in America,1984,5300000
Anthony Hopkins,7.9,The World's Fastest Indian,2005,5128124
Kevin Spacey,7.9,Moon,2009,5009677
Robin Williams,6.5,Jakob the Liar,1999,4956401
Steve Buscemi,7.3,"Paris, je t'aime",2006,4857376
Christian Bale,8.2,Howl's Moving Castle,2004,4710455
Keanu Reeves,7.1,River's Edge,1986,4600000
Matt Damon,8.3,Inside Job,2010,4311834
Robert Downey Jr.,7.6,Kiss Kiss Bang Bang,2005,4235837
Christian Bale,7,I'm Not There.,2007,4001121
Robert Downey Jr.,7,Charlie Bartlett,2007,3950294
Jason Statham,8.2,"Lock, Stock and Two Smoking Barrels",1998,3650677
Philip Seymour Hoffman,6.7,Next Stop Wonderland,1998,3386698
J.K. Simmons,7,Harsh Times,2005,3335839
Matthew McConaughey,7.1,Thirteen Conversations About One Thing,2001,3287435
Philip Seymour Hoffman,7.5,"Synecdoche, New York",2008,3081925
Philip Seymour Hoffman,7.8,Happiness,1998,3000000
Bill Murray,6.9,Cradle Will Rock,1999,2899970
Robert Downey Jr.,7.5,Richard III,1995,2600000
Matthew McConaughey,6.7,Killer Joe,2011,1987762
Nicolas Cage,6.7,Bad Lieutenant: Port of Call New Orleans,2009,1697956
Gerard Butler,7.8,Dear Frankie,2004,1340891
Keanu Reeves,7,The Neon Demon,2016,1330827
Christian Bale,7.5,Equilibrium,2002,1190018
Christian Bale,7.7,The Machinist,2004,1082044
Christian Bale,7,Velvet Goldmine,1998,1043487
Philip Seymour Hoffman,7.2,Owning Mahowny,2003,1011054
Steve Buscemi,7.2,Trees Lounge,1996,695229
Tom Hanks,6.6,The Polar Express,2004,665426
Gerard Butler,6.8,Machine Gun Preacher,2011,537580
Steve Buscemi,6.8,Things to Do in Denver When You're Dead,1995,529766
Nicolas Cage,6.9,Joe,2013,371897
Robin Williams,7,House of D,2004,371081
Robin Williams,6.9,World's Greatest Dad,2009,221210
Robert Downey Jr.,6.5,Fur: An Imaginary Portrait of Diane Arbus,2006,220914
Jason Statham,6.5,Mean Machine,2001,92191
Steve Buscemi,7.2,The Messenger,2009,66637
Matt Damon,6.5,Margaret,2011,46495
Robert De Niro,8.3,Raging Bull,1980,45250
Robert De Niro,7.4,Mean Streets,1973,32645
Liam Neeson,6.8,Operation Chromite,2016,31662
Jason Statham,6.6,London,2005,12667
Christian Bale,7.6,The Flowers of War,2011,9213
